"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"SEMA4B" 0 0.273284047817008 0.262 0.079 0 "0" "SEMA4B"
"TP53TG1" 0 0.273254257231081 0.266 0.078 0 "0" "TP53TG1"
"P2RX4" 0 0.271830505166114 0.289 0.102 0 "0" "P2RX4"
"TSPAN5" 0 0.270230075344623 0.311 0.108 0 "0" "TSPAN5"
"TRAFD1" 0 0.267001310126559 0.29 0.102 0 "0" "TRAFD1"
"KLHL5" 0 0.262264782959252 0.278 0.087 0 "0" "KLHL5"
"SCP2" 2.05627848445772e-307 0.337913097194029 0.531 0.294 5.69445200700876e-303 "0" "SCP2"
"ISG15" 5.71051527411168e-301 0.293692844474049 0.288 0.106 1.58141299485975e-296 "0" "ISG15"
"KRT19" 1.85824752039508e-300 0.303645140218282 0.877 0.623 5.14604485823009e-296 "0" "KRT19"
"GPRC5C" 3.93245010054326e-299 0.259908904489857 0.283 0.101 1.08901340634344e-294 "0" "GPRC5C"
"GPRC5A" 4.56318230668742e-299 0.431068756475531 0.459 0.226 1.26368207619095e-294 "0" "GPRC5A"
"HMGN1" 5.27733245897238e-297 0.321863041360661 0.925 0.839 1.46145167786322e-292 "0" "HMGN1"
"FARP1" 8.30010085123884e-295 0.31139887821732 0.352 0.155 2.29854692873357e-290 "0" "FARP1"
"RUNX1" 5.15900034471144e-293 0.587923997990727 0.627 0.428 1.42868196546094e-288 "0" "RUNX1"
"PSENEN" 1.21368443601658e-292 0.350794311015346 0.616 0.382 3.36105630866072e-288 "0" "PSENEN"
"NDUFB4" 2.29381838307397e-292 0.353364312270619 0.866 0.741 6.35227124824674e-288 "0" "NDUFB4"
"SELM" 4.23912800568679e-291 0.381182544627643 0.901 0.719 1.17394171861484e-286 "0" "SELM"
"IL32" 3.8793150696732e-290 0.655572305482274 0.704 0.528 1.0742987222446e-285 "0" "IL32"
"CFB" 4.30665941379718e-284 0.719321771698088 0.358 0.158 1.19264319146285e-279 "0" "CFB"
"STARD10" 6.74870750254698e-284 0.327607390807926 0.44 0.227 1.86891956868034e-279 "0" "STARD10"
"TMEM136" 1.8918354159739e-283 0.302412546952464 0.251 0.085 5.23905981745652e-279 "0" "TMEM136"
"DSTN" 3.25791529170663e-282 0.35552252054735 0.984 0.951 9.02214481732318e-278 "0" "DSTN"
"H3F3A" 3.59999293829685e-282 0.329360196360814 0.96 0.921 9.96946044402545e-278 "0" "H3F3A"
"PON2" 3.33071404652357e-277 0.313721622742494 0.44 0.222 9.22374640903773e-273 "0" "PON2"
"C4orf48" 2.53675664401494e-275 0.372165748670676 0.433 0.227 7.02504017427059e-271 "0" "C4orf48"
"CALM2" 2.24306490811745e-272 0.355207142091512 0.961 0.908 6.21171965004965e-268 "0" "CALM2"
